City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Odienne,CI,2022-06-12 22:37:20,9.51,-7.5692,75.9,79,54,5.46
67,Kamenka,RU,2022-06-12 22:37:20,51.3223,42.7678,55.98,73,1,8.19
68,Yumen,CN,2022-06-12 22:37:21,40.2833,97.2,65.93,11,0,4.81
69,Bethel,US,2022-06-12 22:37:22,41.3712,-73.414,71.02,86,98,6.96
70,Sabang,ID,2022-06-12 22:37:22,5.8933,95.3214,82.49,71,98,6.71
71,Roebourne,AU,2022-06-12 22:37:23,-20.7833,117.1333,72.41,56,52,9.17
72,Marsh Harbour,BS,2022-06-12 22:34:41,26.5412,-77.0636,82.45,78,96,10.11
73,Marrakesh,MA,2022-06-12 22:35:55,31.6315,-8.0083,84.27,54,40,17.27
74,Halifax,CA,2022-06-12 22:33:48,44.6453,-63.5724,73.29,70,93,5.41
75,Tuktoyaktuk,CA,2022-06-12 22:37:24,69.4541,-133.0374,33.8,93,100,9.22
76,Ponta Do Sol,PT,2022-06-12 22:37:25,32.6667,-17.1,70.72,82,5,1.01
77,Nanortalik,GL,2022-06-12 22:37:25,60.1432,-45.2371,38.12,95,100,12.15
78,Alofi,NU,2022-06-12 22:37:26,-19.0595,-169.9187,80.49,78,3,13.8
79,Aripuana,BR,2022-06-12 22:37:26,-9.1667,-60.6333,76.15,66,98,2.62
80,Moose Factory,CA,2022-06-12 22:37:27,51.2585,-80.6094,60.8,67,100,9.22
81,Turukhansk,RU,2022-06-12 22:37:28,65.8167,87.9833,62.08,78,99,10.2
82,Pacific Grove,US,2022-06-12 22:37:28,36.6177,-121.9166,77.11,78,100,12.66
83,Cape Town,ZA,2022-06-12 22:34:04,-33.9258,18.4232,61.21,85,75,23.02
84,Rikitea,PF,2022-06-12 22:37:29,-23.1203,-134.9692,73.22,71,40,9.98
85,Karasburg,NA,2022-06-12 22:37:30,-28.0167,18.75,57.88,36,7,5.06
86,Alugan,PH,2022-06-12 22:37:30,12.2188,125.4808,82.02,78,83,5.53
87,Fort Morgan,US,2022-06-12 22:37:31,40.2503,-103.8,90.82,15,0,19.57
88,Havelock,US,2022-06-12 22:37:32,34.8791,-76.9013,80.56,90,40,8.05
89,Lata,PT,2022-06-12 22:37:32,40.1629,-8.3327,68.07,78,0,0.92
90,Brae,GB,2022-06-12 22:37:33,60.3964,-1.353,50.23,93,100,20.09
91,Kavieng,PG,2022-06-12 22:37:33,-2.5744,150.7967,82.0,78,80,13.96
92,Chokurdakh,RU,2022-06-12 22:37:34,70.6333,147.9167,60.48,24,8,13.15
93,Pontes E Lacerda,BR,2022-06-12 22:34:46,-15.2261,-59.3353,58.17,55,81,4.68
94,Ribeira Grande,PT,2022-06-12 22:38:35,38.5167,-28.7,62.85,76,14,23.76
95,Smiltene,LV,2022-06-12 22:38:35,57.4244,25.9016,54.55,93,96,4.83
96,Charyshskoye,RU,2022-06-12 22:38:36,51.3978,83.5598,61.86,87,90,4.76
97,Yeppoon,AU,2022-06-12 22:38:36,-23.1333,150.7333,53.38,56,1,4.72
98,Puerto Del Rosario,ES,2022-06-12 22:37:07,28.5004,-13.8627,71.35,78,20,14.97
99,Mar Del Plata,AR,2022-06-12 22:34:02,-38.0023,-57.5575,54.09,68,0,3.44
100,Avarua,CK,2022-06-12 22:38:37,-21.2078,-159.775,82.45,65,75,11.5
101,Denpasar,ID,2022-06-12 22:38:38,-8.65,115.2167,78.46,94,40,3.44
102,Svetlogorsk,BY,2022-06-12 22:38:38,52.6333,29.7333,57.7,94,1,6.29
103,Moosomin,CA,2022-06-12 22:38:39,50.1333,-101.6677,71.44,62,74,7.43
104,Airai,TL,2022-06-12 22:38:40,-8.9266,125.4092,58.12,79,94,3.09
105,Albany,US,2022-06-12 22:37:30,42.6001,-73.9662,69.46,76,96,1.99
106,Lermontovka,RU,2022-06-12 22:38:41,47.1453,134.3383,64.76,63,86,8.97
107,Takoradi,GH,2022-06-12 22:38:42,4.8845,-1.7554,76.8,82,73,6.58
108,Agadez,NE,2022-06-12 22:37:01,19.75,10.25,92.77,11,0,11.52
109,Olafsvik,IS,2022-06-12 22:38:44,64.8945,-23.7142,47.26,83,100,6.17
110,Awjilah,LY,2022-06-12 22:38:45,29.1081,21.2869,73.62,57,0,11.88
111,Provideniya,RU,2022-06-12 22:38:45,64.3833,-173.3,40.32,63,92,1.83
112,Padang,ID,2022-06-12 22:38:46,-0.9492,100.3543,73.45,78,97,1.9
113,Rio Gallegos,AR,2022-06-12 22:38:46,-51.6226,-69.2181,46.45,76,0,1.14
114,Marigot,MF,2022-06-12 22:38:47,18.0667,-63.0833,83.98,71,40,14.97
115,Bengkulu,ID,2022-06-12 22:38:47,-3.8004,102.2655,75.63,85,100,4.32
116,Gornyy,RU,2022-06-12 22:38:48,55.1153,83.9059,61.29,73,96,8.03
117,Antofagasta,CL,2022-06-12 22:38:48,-23.65,-70.4,56.48,83,27,6.22
118,Barmer,IN,2022-06-12 22:36:09,25.75,71.3833,83.16,61,74,11.7
119,Guerrero Negro,MX,2022-06-12 22:38:49,27.9769,-114.0611,73.99,59,14,17.36
120,Akniste,LV,2022-06-12 22:38:49,56.1615,25.7478,50.4,95,85,5.93
121,Saint-Joseph,RE,2022-06-12 22:38:50,-21.3667,55.6167,68.38,85,52,14.54
122,Beringovskiy,RU,2022-06-12 22:38:50,63.05,179.3167,43.3,54,79,0.96
123,Sur,OM,2022-06-12 22:38:51,22.5667,59.5289,81.82,84,2,10.78
124,Dengzhou,CN,2022-06-12 22:38:51,37.8086,120.7508,69.48,72,94,6.22
125,Black River,JM,2022-06-12 22:38:52,18.0264,-77.8487,84.34,64,93,17.0
126,Dikson,RU,2022-06-12 22:38:53,73.5069,80.5464,29.7,95,100,16.89
127,Ocu,JP,2022-06-12 22:38:53,35.0044,135.8683,65.79,78,100,0.36
128,Lorengau,PG,2022-06-12 22:38:54,-2.0226,147.2712,82.81,76,77,10.49
129,Lompoc,US,2022-06-12 22:38:54,34.6391,-120.4579,86.14,68,0,15.99
130,Strelka,RU,2022-06-12 22:38:55,58.0728,93.0344,60.76,89,28,4.21
131,Tasiilaq,GL,2022-06-12 22:38:56,65.6145,-37.6368,37.56,99,100,5.26
132,Cordoba,AR,2022-06-12 22:38:57,-31.4135,-64.1811,65.75,40,0,8.05
133,Nikolskoye,RU,2022-06-12 22:38:57,59.7035,30.7861,57.09,95,95,3.04
134,Shamary,RU,2022-06-12 22:38:57,57.3434,58.2199,48.87,97,100,5.35
135,Bucerias,MX,2022-06-12 22:38:58,20.75,-105.3333,87.98,70,20,11.5
136,Lagos,NG,2022-06-12 22:34:36,6.5833,3.75,80.92,90,100,4.47
137,Qaanaaq,GL,2022-06-12 22:38:58,77.484,-69.3632,29.98,73,7,7.43
138,Ilulissat,GL,2022-06-12 22:36:03,69.2167,-51.1,35.62,75,100,12.66
139,Cherskiy,RU,2022-06-12 22:39:59,68.75,161.3,66.83,30,29,2.89
140,Leningradskiy,RU,2022-06-12 22:40:00,69.3833,178.4167,36.23,76,100,12.59
141,Andapa,MG,2022-06-12 22:40:00,-14.65,49.65,61.34,96,51,3.27
142,Mahibadhoo,MV,2022-06-12 22:40:01,3.7833,72.9667,83.21,73,100,7.81
143,Sola,VU,2022-06-12 22:40:01,-13.8833,167.55,80.37,77,35,11.1
144,Carnarvon,AU,2022-06-12 22:40:02,-24.8667,113.6333,64.47,71,19,14.54
145,Zhicheng,CN,2022-06-12 22:40:02,30.2956,111.5047,70.47,82,32,2.1
146,Poum,NC,2022-06-12 22:40:03,-20.2333,164.0167,75.27,79,100,9.98
147,Hay River,CA,2022-06-12 22:37:22,60.8156,-115.7999,60.78,63,75,12.66
