City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Yarega,RU,63.4354,53.5765,65.52,49,100,9.6,overcast clouds
106,Calama,CL,-22.4667,-68.9333,43.75,20,3,5.59,clear sky
107,Mandurah,AU,-32.55,115.7,66.9,76,69,14.56,broken clouds
108,Butaritari,KI,3.0707,172.7902,82.54,71,24,12.82,few clouds
109,Vila,PT,42.0304,-8.1588,59.88,81,37,4.03,scattered clouds
110,Puerto Ayora,EC,-0.7393,-90.3518,70.56,93,13,5.01,few clouds
111,Kamenka,RU,51.3223,42.7678,57.16,97,100,7.29,light rain
112,Luderitz,NA,-26.6481,15.1594,61.41,37,2,14.72,clear sky
113,Bilibino,RU,68.0546,166.4372,58.98,24,1,3.76,clear sky
114,Arraial Do Cabo,BR,-22.9661,-42.0278,67.75,77,7,9.95,clear sky
115,Kapaa,US,22.0752,-159.319,78.48,83,5,7.0,clear sky
116,Vila Velha,BR,-20.3297,-40.2925,64.94,89,40,2.3,scattered clouds
117,Aripuana,BR,-9.1667,-60.6333,70.47,98,55,2.17,broken clouds
118,Paamiut,GL,61.994,-49.6678,36.68,87,8,12.86,clear sky
119,Olinda,BR,-8.0089,-34.8553,74.52,85,21,4.9,few clouds
120,Dikson,RU,73.5069,80.5464,35.46,87,70,6.78,broken clouds
121,Kedrovyy,RU,56.1667,91.8167,72.01,55,83,4.36,light rain
122,Itarema,BR,-2.9248,-39.9167,73.67,84,14,11.1,few clouds
123,Independencia,BR,-5.3964,-40.3086,69.03,85,56,6.22,broken clouds
124,Tuatapere,NZ,-46.1333,167.6833,47.5,85,100,12.44,light rain
125,Nishihara,JP,26.1842,127.7558,76.28,88,75,8.05,moderate rain
126,Saryg-Sep,RU,51.5,95.6,81.57,34,34,2.15,scattered clouds
127,Hamilton,US,39.1834,-84.5333,84.74,73,3,1.01,clear sky
128,Salalah,OM,17.0151,54.0924,82.35,81,80,6.46,broken clouds
129,Kruisfontein,ZA,-34.0033,24.7314,44.89,78,24,7.65,few clouds
130,Port Augusta,AU,-32.5,137.7667,64.0,50,0,2.73,clear sky
131,Aklavik,CA,68.2191,-135.0107,60.42,36,8,13.49,clear sky
132,Laguna,US,38.421,-121.4238,81.45,36,0,8.05,clear sky
133,Hobart,AU,-42.8794,147.3294,53.46,85,75,6.91,broken clouds
134,Iqaluit,CA,63.7506,-68.5145,40.73,93,100,14.97,overcast clouds
135,Esperance,AU,-33.8667,121.9,65.73,55,0,7.45,clear sky
136,Tilichiki,RU,60.4667,166.1,49.95,71,92,10.83,overcast clouds
137,Kaitangata,NZ,-46.2817,169.8464,46.02,89,100,12.53,overcast clouds
138,Bilma,NE,18.6853,12.9164,85.32,38,100,5.55,overcast clouds
139,Tocopilla,CL,-22.092,-70.1979,57.25,72,17,1.9,few clouds
140,Ahipara,NZ,-35.1667,173.1667,60.1,69,1,6.98,clear sky
141,Aguas Vermelhas,BR,-15.7472,-41.46,51.28,95,68,2.15,broken clouds
142,Genc,TR,38.7507,40.5603,67.96,58,16,5.3,few clouds
143,Bar Harbor,US,44.3876,-68.2039,57.9,83,0,3.44,clear sky
144,Eureka,US,40.8021,-124.1637,57.25,77,87,3.0,overcast clouds
145,Mehamn,NO,71.0357,27.8492,39.11,84,100,13.71,overcast clouds
146,Camacha,PT,33.0833,-16.3333,63.82,72,40,10.36,scattered clouds
147,Knyaze-Volkonskoye,RU,48.4642,135.4567,77.34,58,9,4.0,clear sky
148,Dzhebariki-Khaya,RU,62.2167,135.8,61.48,78,88,5.95,light rain
149,Avarua,CK,-21.2078,-159.775,78.85,73,11,8.05,few clouds
150,Kieta,PG,-6.2167,155.6333,82.31,76,81,4.29,light rain
151,Conde,BR,-7.2597,-34.9075,71.89,88,32,5.84,scattered clouds
152,Kirakira,SB,-10.4544,161.9205,83.07,75,96,9.71,overcast clouds
153,Ust-Maya,RU,60.4167,134.5333,63.5,73,78,3.24,light rain
154,Santa Cruz Cabralia,BR,-16.2781,-39.0247,70.99,73,99,8.03,overcast clouds
155,Aswan,EG,24.0934,32.907,81.88,32,2,8.81,clear sky
156,Gryazi,RU,52.4966,39.9359,59.09,77,77,5.21,broken clouds
157,Umm Lajj,SA,25.0213,37.2685,81.72,68,0,7.67,clear sky
158,Souillac,MU,-20.5167,57.5167,73.78,83,20,10.36,few clouds
